no,malzeme,adet,birim_tl,satir_tl,nereden,site
1,LilyGO T-Weigh 868 MHz,1,900,900,yurt disi,lilygo.cc
2,T-U2T programlayici,1,806,806,F1Depo,f1depo.com
3,50kg load cell,4,44,176,Robiz,robiz.net
4,DHT22,1,114,114,Robo90,robo90.com
5,IR sensor modul,2,50,100,Robotistan,robotistan.com
6,mikrofon ses sensoru,1,45,45,Robotistan,robotistan.com
7,ADXL345,1,150,150,Robotistan,robotistan.com
8,4.7k direnc,1,6,6,Robiz,robiz.net
9,gunes paneli 6V 150mA,1,175,175,Robotistan,robotistan.com
10,CN3065,1,86,86,Robiz,robiz.net
11,1S BMS,1,17,17,Robiz,robiz.net
12,18650 3200mAh,1,183,183,Robotistan,robotistan.com
13,tekli 18650 yuva,1,26,26,Robotistan,robotistan.com
14,IP65 kutu,1,101,101,Robiz,robiz.net
15,jumper F-F,1,50,50,Robiz,robiz.net
16,jumper M-F,1,50,50,Robiz,robiz.net
17,USB kablo,1,45,45,Robotistan,robotistan.com
18,tarti platformu,1,380,380,yerel,hirdavat
99,kargo,1,350,350,—,—
100,ASAMA1_TOPLAM,1,3760,3760,—,—
