SatirNo;Paket;Bolum;Urun;Adet;BirimFiyatTL;ToplamTL;StokKodu;Tedarikci;URL;Not
N01;NODE;MCU;LilyGO T-Weigh 868 MHz (4x HX711 LoRa anten dahil);1;900;900;H522;LilyGO;https://lilygo.cc/products/t-weigh;915 MHz almayin
N02;NODE;Programlama;T-U2T USB-TTL programlayici CH9102;1;806.40;806.40;D64;F1Depo;https://www.f1depo.com/urun/t-u2t-usb;Zorunlu firmware icin
N03;NODE;Tarti;50 kg load cell yarim kopru 34x34mm;4;43.68;174.72;Loadcell 50kg;Robiz;https://robiz.net/loadcell50kg;4 kose tam kopru ~200kg
N04;NODE;Sensor;DHT22 AM2302 sicaklik nem;1;114;114;R000919;Robo90;https://www.robo90.com/dht22-sicaklik-ve-nem-algilama-sensoru;BME280 alternatifi
N05;NODE;Sensor;4.7k ohm direnc DHT22 pull-up;1;6;6;;Robiz;https://robiz.net;10 adet paket yeter
N06;NODE;Gunes;6V 150mA gunes paneli 105x66mm;1;174.87;174.87;;Robotistan;https://www.robotistan.com/6-v-125ma-gunes-pili-solar-panel;~0.9W
N07;NODE;Gunes;CN3065 1S Li-ion gunes sarj modulu;1;86.40;86.40;CN3065;Robiz;https://robiz.net/cn3065;Micro USB ile de sarj
N08;NODE;Pil;1S 3A BMS koruma karti;1;17.28;17.28;1S 3A BMS;Robiz;https://robiz.net/battery;Sarj etmez sadece korur
N09;NODE;Pil;Orion 18650 3200mAh kutupsuz;1;182.70;182.70;23735;Robotistan;https://www.robotistan.com/orion-18650-3-7v-3200mah-2c-liion-sarjli-pil-kutup-bassiz;
N10;NODE;Pil;BH-18650 tekli pil yuvasi;1;26.31;26.31;19880;Robotistan;https://www.robotistan.com/18650-pil-icin-tekli-pil-yuvasi-bh-18650;
N11;NODE;Kutu;IP65 plastik kutu 83x58x33mm;1;100.80;100.80;83x58x33;Robiz;https://robiz.net/83x58x33waterproofbox;
N12;NODE;Kablo;Dupont 40 pin Disi-Disi 20cm;1;49.68;49.68;40 Pin Dupont 20cm;Robiz;https://robiz.net/20cmdupontff40;
N13;NODE;Kablo;Dupont 40 pin Erkek-Disi 20cm;1;49.68;49.68;;Robiz;https://robiz.net;
N14;NODE;Test;USB kablo test ve besleme;1;45;45;;Robotistan;https://www.robotistan.com;
N15;NODE;Platform;Kontrplak ust alt M6 M4 civata load cell plaka;1;380;380;;Yerel;Marangoz hirdavat;450x400mm platform
